iter	RMSE
0	2404906.487
1	2348083.282
2	2287396.166
3	2228459.353
4	2172256.935
5	2120061.859
6	2068977.522
7	2018729.59
8	1970586.13
9	1928650.731
10	1883040.312
11	1842086.09
12	1801729.33
13	1762258.282
14	1727768.341
15	1694940.179
16	1664391.918
17	1633115.352
18	1600416.587
19	1574252.562
20	1540914.562
21	1508082.573
22	1478931.099
23	1456577.142
24	1430160.764
25	1407327.093
26	1388672.806
27	1365714.699
28	1344180.184
29	1327435.019
30	1306151.269
31	1288200.919
32	1269409.194
33	1258501.847
34	1238751.701
35	1227942.102
36	1209019.518
37	1194710.187
38	1178733.501
39	1160656.468
40	1148122.956
41	1136586.551
42	1120626.503
43	1109987.232
44	1093968.82
45	1084811.963
46	1071745.144
47	1061126.1
48	1050514.992
49	1036637.034
50	1022052.821
51	1015286.414
52	1002853.58
53	992343.6917
54	982207.6835
55	973269.4877
56	965448.9576
57	950080.4692
58	941246.7244
59	934073.6139
60	927174.1249
61	918067.5925
62	912083.1399
63	905830.3849
64	898957.2908
65	891306.1634
66	882733.3525
67	872903.6321
68	867640.2105
69	863185.7221
70	858390.915
71	848839.8149
72	843701.2386
73	838206.3992
74	831999.9848
75	820986.7224
76	816425.8732
77	812870.4697
78	808106.5913
79	802203.4686
80	797612.5346
81	793897.2151
82	791005.7529
83	784702.6748
84	778314.0563
85	776525.9611
86	768661.8372
87	766953.2958
88	763518.4998
89	755691.1551
90	748620.016
91	743405.1893
92	741153.6266
93	737989.0312
94	736389.774
95	732946.2153
96	730793.3059
97	727892.9956
98	721699.2763
99	714269.2089
100	707690.7094
101	705282.0554
102	703590.4807
103	698068.0528
104	693792.5587
105	692059.028
106	684258.5571
107	677998.779
108	676305.7037
109	674402.807
110	670109.7377
111	665819.2033
112	661923.6042
113	657030.7694
114	652460.2199
115	649888.4404
116	648781.9126
117	643585.8671
118	638871.7928
119	635448.9587
120	631635.4126
121	624323.6816
122	619688.6482
123	618304.0381
124	617250.0078
125	612439.5918
126	606701.9573
127	601655.898
128	596691.3624
129	594485.6313
130	590292.7699
131	586414.2623
132	581298.4979
133	579496.4935
134	578101.6073
135	577247.8848
136	573508.3567
137	570029.474
138	565793.1501
139	564888.6951
140	564322.7848
141	563347.1113
142	557998.8276
143	557409.35
144	552888.7327
145	551014.9936
146	549776.4849
147	549289.7868
148	544966.2664
149	544387.7886
150	541840.1822
151	538758.3279
152	536611.637
153	535829.546
154	534355.2608
155	531688.3828
156	530654.2064
157	527109.9742
158	522817.3453
159	521326.766
160	517476.0876
161	516649.779
162	512950.7353
163	512478.7594
164	511791.1327
165	511386.5532
166	509811.9298
167	505655.1849
168	504941.9292
169	503448.3697
170	502874.9807
171	500742.6327
172	500099.9943
173	499369.8229
174	498734.3694
175	497822.1473
176	497316.16
177	492942.8108
178	489596.4548
179	489104.8753
180	487048.3696
181	484900.4066
182	484256.4207
183	483054.8121
184	482658.5138
185	482211.1791
186	480985.5378
187	479579.1844
188	476656.0347
189	472797.3844
190	470073.6677
191	467526.06
192	465080.9576
193	464734.7835
194	464396.0996
195	460322.4887
196	458655.3607
197	458396.3864
198	458123.8866
199	455697.6179
200	454556.5772
201	453478.9155
202	453227.5101
203	452979.8657
204	452695.6744
205	449592.4994
206	449272.0436
207	447089.009
208	444810.9854
209	444587.1024
210	444283.8984
211	443807.0629
212	441129.3967
213	439196.5115
214	437581.982
215	435496.9351
216	435222.9596
217	435012.5815
218	434763.7406
219	432887.8935
220	432633.3563
221	430149.687
222	427826.6841
223	425658.1994
224	423804.0295
225	421067.7494
226	419750.4078
227	418208.4022
228	418057.1987
229	416393.1716
230	414145.1832
231	412161.7792
232	409744.2598
233	408342.6195
234	407026.7389
